A	1	0.30000000
A	2	0.30000000
A	3	0.30000000
A	4	0.30000000
A	5	0.30000000
A	6	0.30000000
A	7	0.30000000
A	8	0.30000000
A	9	0.30000000
A	10	0.30000000
A	11	0.30000000
A	12	0.30000000
A	13	0.30000000
A	14	0.30000000
A	15	0.30000000
A	16	0.30000000
A	17	0.30000000
A	18	0.30000000
A	19	0.30000000
A	20	0.30000000
A	21	0.30000000
A	22	0.30000000
A	23	0.30000000
A	24	0.30000000
A	25	0.30000000
A	26	0.30000000
A	27	0.30000000
A	28	0.30000000
A	29	0.30000000
A	30	0.30000000
A	31	0.30000000
A	32	0.30000000
A	33	0.30000000
A	34	0.30000000
A	35	0.30000000
A	36	0.30000000
A	37	0.30000000
A	38	0.30000000
A	39	0.30000000
A	40	0.30000000
A	41	0.30000000
A	42	0.30000000
A	43	0.30000000
A	44	0.30000000
A	45	0.30000000
A	46	0.30000000
A	47	0.30000000
A	48	0.30000000
A	49	0.30000000
E	50	0.30000000
A	1	0.30000000
A	2	0.30000000
A	3	0.30000000
A	4	0.30000000
A	5	0.30000000
A	6	0.30000000
A	7	0.30000000
A	8	0.30000000
A	9	0.30000000
A	10	0.30000000
A	11	0.30000000
A	12	0.30000000
A	13	0.30000000
A	14	0.30000000
A	15	0.30000000
A	16	0.30000000
A	17	0.30000000
A	18	0.30000000
A	19	0.30000000
A	20	0.30000000
A	21	0.30000000
A	22	0.30000000
A	23	0.30000000
A	24	0.30000000
A	25	0.30000000
A	26	0.30000000
A	27	0.30000000
A	28	0.30000000
A	29	0.30000000
A	30	0.30000000
A	31	0.30000000
A	32	0.30000000
A	33	0.30000000
A	34	0.30000000
A	35	0.30000000
A	36	0.30000000
A	37	0.30000000
A	38	0.30000000
A	39	0.30000000
A	40	0.30000000
A	41	0.30000000
A	42	0.30000000
A	43	0.30000000
A	44	0.30000000
A	45	0.30000000
A	46	0.30000000
A	47	0.30000000
A	48	0.30000000
A	49	0.30000000
E	50	0.30000000
